Duracion;DuracionAscendente;DuracionDescendente;GradienteAscendente;GradienteDescendente;Volumen;Qmax_GEOM;CaudalBaseEscalon;HoraEpisodio;VolumenEpisodio;DuracionEpisodio;Volumen -4;Duracion -4;Distancia de -4;Volumen -3;Duracion -3;Distancia de -3;Volumen -2;Duracion -2;Distancia de -2;Volumen -1;Duracion -1;Distancia de -1;Volumen 1;Duracion 1;Distancia de 1;Volumen 2;Duracion 2;Distancia de 2;Volumen 3;Duracion 3;Distancia de 3;Volumen 4;Duracion 4;Distancia de 4;VolumenCercanoMas1.1;DistanciaCercanoMas1.1;Etiqueta
93;31;45;0.006048387096774193;0.004166666666666667;12.991999999999997;0.1875;0;9.766666666666667;12.991999999999997;93;0.999;16;207;0.999;16;130;0.999;16;111;2.0;29;20;0.999;16;13;2.9970000000000003;34;68;0.999;16;234;0.999;16;352;2.0;20;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.533333333333333;0.999;16;0.999;16;236;0.999;16;217;2.0;29;126;12.991999999999997;93;13;2.9970000000000003;34;39;0.999;16;205;0.999;16;323;2.9970000000000003;31;1084;12.991999999999997;13;Grifos
34;13;13;0.008653846153846154;0.008653846153846154;2.9970000000000003;0.1125;0;9.45;2.9970000000000003;34;0.999;16;272;2.0;29;181;12.991999999999997;93;68;0.999;16;39;0.999;16;132;0.999;16;250;2.9970000000000003;31;1011;3.994000000000002;39;1332;12.991999999999997;68;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.216666666666667;0.999;16;2.0;29;347;12.991999999999997;93;234;0.999;16;205;2.9970000000000003;34;132;0.999;16;102;2.9970000000000003;31;863;3.994000000000002;39;1184;0.999;16;1659;2.9970000000000003;132;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.183333333333334;0.999;16;12.991999999999997;93;352;0.999;16;323;2.9970000000000003;34;250;0.999;16;102;2.9970000000000003;31;745;3.994000000000002;39;1066;0.999;16;1541;2.9970000000000003;31;1764;2.9970000000000003;250;Grifos
31;16;15;0.00859375;0.009166666666666667;2.9970000000000003;0.1375;0;9.866666666666667;2.9970000000000003;31;0.999;16;1084;2.9970000000000003;34;1011;0.999;16;863;0.999;16;745;3.994000000000002;39;290;0.999;16;765;2.9970000000000003;31;988;4.997000000000001;44;1061;3.994000000000002;290;Cisternas
39;15;23;0.009166666666666667;0.005978260869565218;3.994000000000002;0.1375;0;9.216666666666667;3.994000000000002;39;2.9970000000000003;34;1332;0.999;16;1184;0.999;16;1066;2.9970000000000003;31;290;0.999;16;436;2.9970000000000003;31;659;4.997000000000001;44;732;3.997000000000001;35;789;2.9970000000000003;290;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;9.133333333333333;0.999;16;0.999;16;1659;0.999;16;1541;2.9970000000000003;31;765;3.994000000000002;39;436;2.9970000000000003;31;207;4.997000000000001;44;280;3.997000000000001;35;337;2.0000000000000004;23;393;2.9970000000000003;207;Cisternas
31;15;16;0.009166666666666667;0.00859375;2.9970000000000003;0.1375;0;10.85;2.9970000000000003;31;0.999;16;1764;2.9970000000000003;31;988;3.994000000000002;39;659;0.999;16;207;4.997000000000001;44;42;3.997000000000001;35;99;2.0000000000000004;23;155;0.999;16;212;4.997000000000001;42;Lavadora
44;23;14;0.007065217391304348;0.011607142857142858;4.997000000000001;0.1625;0;10.066666666666666;4.997000000000001;44;2.9970000000000003;31;1061;3.994000000000002;39;732;0.999;16;280;2.9970000000000003;31;42;3.997000000000001;35;13;2.0000000000000004;23;69;0.999;16;126;2.0000000000000004;23;164;3.997000000000001;13;Lavadora
35;11;18;0.014772727272727272;0.009027777777777779;3.997000000000001;0.1625;0;10.016666666666667;3.997000000000001;35;3.994000000000002;39;789;0.999;16;337;2.9970000000000003;31;99;4.997000000000001;44;13;2.0000000000000004;23;21;0.999;16;78;2.0000000000000004;23;116;0.999;16;217;4.997000000000001;13;Lavadora
23;9;9;0.0125;0.0125;2.0000000000000004;0.1125;0;10.95;2.0000000000000004;23;0.999;16;393;2.9970000000000003;31;155;4.997000000000001;44;69;3.997000000000001;35;21;0.999;16;34;2.0000000000000004;23;72;0.999;16;173;0.999;16;981;3.997000000000001;21;Lavadora
